City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Tasiilaq,GL,2020-06-18 19:50:01,65.61,-37.64,42.8,75,100,47.2
280,Ugoofaaru,MV,2020-06-18 19:58:57,5.67,73.0,83.7,75,27,7.18
281,Mount Isa,AU,2020-06-18 19:50:50,-20.73,139.5,62.6,72,0,3.36
282,Sisimiut,GL,2020-06-18 19:58:58,66.94,-53.67,41.85,67,45,14.2
283,Palencia,ES,2020-06-18 19:58:58,42.42,-4.5,68.0,40,20,11.54
284,Dong Xoai,VN,2020-06-18 19:58:58,11.53,106.92,75.54,90,99,2.51
285,Sistranda,NO,2020-06-18 19:58:43,63.73,8.83,59.0,72,20,5.82
286,Flin Flon,CA,2020-06-18 19:58:58,54.77,-101.86,42.8,87,90,14.99
287,Chicla,PE,2020-06-18 19:58:59,-11.71,-76.27,57.18,37,14,2.37
288,Komsomolskiy,UZ,2020-06-18 19:51:21,40.43,71.72,69.8,40,39,4.7
289,Yakeshi,CN,2020-06-18 19:58:59,49.28,120.73,52.56,91,97,4.27
290,Pochutla,MX,2020-06-18 19:56:00,15.74,-96.47,78.8,83,90,3.69
291,Coroico,BO,2020-06-18 19:58:59,-16.19,-67.73,60.8,8,37,9.17
292,Fairbanks,US,2020-06-18 19:49:43,64.84,-147.72,72.0,40,1,3.44
293,Luoyang,CN,2020-06-18 19:59:00,34.68,112.45,71.01,99,20,5.91
294,Constitucion,CL,2020-06-18 19:51:08,-35.33,-72.42,55.62,86,100,23.76
295,Kulhudhuffushi,MV,2020-06-18 19:56:05,6.62,73.07,84.16,77,63,9.6
296,Savannakhet,LA,2020-06-18 19:59:01,16.57,104.75,75.0,94,71,4.52
297,Forlev,DK,2020-06-18 19:59:01,55.38,11.28,68.0,1,94,4.7
298,Evensk,RU,2020-06-18 19:59:01,61.95,159.23,51.33,81,87,4.14
299,Ola,RU,2020-06-18 19:59:01,59.58,151.28,50.23,86,44,1.36
300,Galle,LK,2020-06-18 19:56:57,6.04,80.22,81.52,86,86,7.94
301,College,US,2020-06-18 19:59:02,64.86,-147.8,72.0,42,40,5.82
302,Bara,NG,2020-06-18 19:59:02,10.37,10.73,76.35,71,50,8.75
303,Otradnoye,RU,2020-06-18 19:59:02,59.78,30.82,69.8,68,75,6.71
304,Lahan,NP,2020-06-18 19:59:02,26.73,86.5,78.06,87,100,12.15
