City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
406,Sao Joao Da Barra,BR,77.0,-21.64,-41.05,Pousada Porto De Canoas
408,Miri,MY,78.8,4.41,114.01,"Mega Hotel, Miri"
409,Bengkulu,ID,74.86,-3.8,102.27,Grage Hotel Bengkulu
410,Sinjar,IQ,78.96,36.32,41.88,زوماني فون 1
411,Ponta Delgada,PT,66.2,37.73,-25.67,Vila Nova Hotel
412,Pacific Grove,US,75.0,36.62,-121.92,Lovers Point Inn
413,Moron,AR,60.01,-34.65,-58.62,Hotel Morón
417,Campoverde,PE,89.6,-8.48,-74.81,"Hospedaje ""Señor De Muruhuay"""
418,Kankaanpaa,FI,73.4,61.8,22.42,Finlandia Hotel Lumiainen
419,Mindelo,CV,77.0,16.89,-24.98,Hotel Gaudi
420,Havelock,US,82.4,34.88,-76.9,Sherwood Motel
424,Adrar,MR,100.63,20.5,-10.07,
425,Musafirkhana,IN,82.13,26.37,81.8,Hindustan Sweets House
426,Libourne,FR,69.01,44.92,-0.25,Hôtel Mercure Libourne Saint-Émilion
427,Sur,OM,86.29,22.57,59.53,Sur Plaza Hotel
428,Kruisfontein,ZA,63.28,-34.0,24.73,Oyster Bay House Rental
430,Jalu,LY,87.82,29.03,21.55,Jalu Hotel
431,Mizdah,LY,89.87,31.45,12.98,محمدالمبروك الاريقط
433,Raudeberg,NO,69.8,61.99,5.14,Nordre Silda.
435,Riyadh,SA,86.0,24.69,46.72,InterContinental Riyadh
436,San Patricio,MX,86.0,19.22,-104.7,Hotel Cabo Blanco
439,Haapiti,PF,84.2,-17.57,-149.87,Linareva Moorea Beach Resort
441,Xiamen,CN,84.2,24.48,118.08,厦门马哥孛罗东方大酒店
442,Monduli,TZ,60.8,-3.3,36.45,Monduli Lutheran Youth Hostel
443,Vila Franca Do Campo,PT,66.2,37.72,-25.43,Pestana Bahia Praia
445,Hashtrud,IR,61.23,37.48,47.05,هتل و مسافرخانه کارون
447,Kieta,PG,80.13,-6.22,155.63,
449,Vrable,SK,66.0,48.24,18.31,Hotel Prédium
450,Hayden,US,78.01,47.77,-116.79,Triple Play Resort Hotel & Suites
451,Mount Hagen,PG,64.4,-5.86,144.23,Highlander Hotel
452,Muroto,JP,71.19,33.28,134.15,Oota Ryokan
453,Port Hardy,CA,60.8,50.7,-127.42,Airport Inn
455,Haines Junction,CA,63.3,60.75,-137.51,Parkside Inn
456,Tadine,NC,70.56,-21.55,167.88,
457,Hangzhou,CN,73.0,30.29,120.16,Wyndham Grand Plaza Royale Hangzhou
458,Guymon,US,77.0,36.68,-101.48,Holiday Inn Express & Suites Guymon
460,Maceio,BR,78.8,-9.67,-35.74,Mercure Maceio Pajucara Hotel
461,Bilibino,RU,74.26,68.05,166.44,Gostinitsa Severyanka
462,Sao Filipe,CV,76.59,14.9,-24.5,Tortuga B&B
463,Bambous Virieux,MU,72.0,-20.34,57.76,Casa Tia Villa
464,Wanning,CN,81.07,18.8,110.4,Paradise Hotel
465,Akdepe,TM,77.0,42.06,59.38,Мой дом
467,Bosobolo,CD,72.21,4.18,19.9,
468,Nouadhibou,MR,69.8,20.93,-17.03,El Medina
469,Segarcea Vale,RO,69.8,43.82,24.8,
470,Kamyaran,IR,75.2,34.8,46.94,نانوایی سنگکی خداداد مرادی
471,Savannah Bight,HN,82.74,16.45,-85.85,Villa on Dunbar Rock
473,Angoche,MZ,69.35,-16.23,39.91,Guest House HESADA
474,Alghero,IT,64.99,40.56,8.32,Hotel Carlos V
475,Yagodnoye,RU,67.68,62.55,149.67,Guest House Yagodnoe
476,Gushikawa,JP,82.4,26.35,127.87,Kirari Guest House
479,Bolshaya Martynovka,RU,76.82,47.27,41.67,Gostinnitsa Etna
480,Luzhou,CN,75.31,28.87,105.44,Shijichun Hotel
481,Laguna,US,93.99,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
482,Terrak,NO,60.8,65.09,12.37,Terråk Gjestegård
483,Careiro Da Varzea,BR,87.8,-3.2,-59.81,POUSADA DA ALDENORA
484,Quatre Cocos,MU,72.0,-20.21,57.76,Veranda Palmar Beach Hotel
490,Pauini,BR,87.1,-7.71,-66.98,Casa do Kiwliks
493,Erie,US,82.99,42.77,-78.67,Roycroft Inn
494,Boa Vista,BR,86.0,2.82,-60.67,Aipana Plaza Hotel
495,Avera,US,87.8,33.19,-82.53,
496,Umm Lajj,SA,78.48,25.02,37.27,Tanal Hotel Apartment
497,Nuevo Progreso,MX,91.99,23.17,-97.95,Balneario Rio el Paraiso
500,Kloulklubed,PW,77.0,7.04,134.26,Storyboard Beach Resort
503,Sept-Iles,CA,62.01,50.2,-66.38,Comfort Inn
504,Kailua,US,82.4,21.4,-157.74,Sheffield House Bed & Breakfast
505,Ilo,PE,64.54,-17.64,-71.34,Torreblanca Hotel
506,North Bend,US,84.0,43.41,-124.22,Red Lion Hotel Coos Bay
508,Palmer,US,86.0,42.16,-72.33,Wedgewood Motel
509,Honghu,CN,70.52,29.82,113.46,文泉花园酒店
511,Yambio,SS,68.47,4.57,28.4,Kabash Inn
512,Lahaina,US,82.4,20.88,-156.68,Lahaina Shores Beach Resort
513,Tshikapa,CD,71.06,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
514,Tagusao,PH,79.83,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
515,Beaverlodge,CA,73.4,55.22,-119.44,Side Trax Inn
518,Agadez,NE,88.77,19.75,10.25,
